name,ra,dec,morph_type,distance,distance_error,num_glob_clust_limit,num_glob_clust,num_glob_clust_error
NGC 1399,3.64141,-35.45063,E1, 20.68, 0.50,, 6000.0,  700.0
NGC 1379,3.60106,-35.44116,E, 20.04, 1.43,,  225.0,   23.0
NGC 1427,3.70539,-35.39278,E, 20.52, 2.00,,  500.0,   60.0
FCC 182,3.61508,-35.37464,SB0, 19.57, 0.79,,   59.0,   20.0
FCC 95,3.52356,-35.33108,dSB0, 19.73, 0.67,,   21.0,    7.0
NGC 3268,10.5002,-35.32556,E2, 34.83, 4.25,, 4750.0,  150.0
FCC 146,3.58656,-35.32295,dE4N, 20.00, 2.00,,    0.6,    3.4
NGC 1381,3.60881,-35.29521,S0, 18.78, 1.76,,   71.0,   25.0
NGC 1375,3.58801,-35.26562,S0, 20.02, 0.98,,   86.0,   30.0
NGC 1374,3.58794,-35.22633,E, 19.64, 0.09,,  360.0,   19.0
NGC 1380B,3.61916,-35.1951,SB0, 22.02, 1.14,,  156.0,   50.0
NGC 1428,3.70638,-35.15338,E5, 20.69, 0.76,,   42.0,   13.0
FCC 100,3.5299,-35.05186,dE4, 21.96, 1.94,,   34.0,   12.0
NGC 1380,3.60766,-34.97613,S0-a, 18.86, 1.85,,  424.0,  100.0
NGC 1351,3.50971,-34.85402,E5, 31.57, 0.08,,  274.0,   90.0
NGC 1380A,3.61319,-34.73962,S0, 16.89, 1.81,,   70.0,   25.0
FCC 189,3.61893,-34.73136,dE4N, 20.00, 2.00,,    0.6,    4.2
ESO 358-G06,3.45501,-34.52639,S0, 19.18, 1.13,,   37.0,   15.0
ESO 358-G42,3.63588,-34.51858,dE6, 20.69, 0.80,,   30.0,   10.0
Fornax dE,2.66647,-34.44917,dE,  0.14, 0.00,,    5.0,    0.0
ESO 358-G26,3.59193,-34.44708,S0, 20.78, 0.69,,   60.0,   20.0
FCC 106,3.54658,-34.23869,dS0, 19.89, 0.63,,   15.0,    5.0
IC 4296,13.61085,-33.96582,E, 49.68, 2.73,, 6400.0,  300.0
ESO 358-G56,3.72295,-33.94002,dS0, 21.68, 0.80,,   17.0,    6.0
ESO 358-G50,3.68434,-33.77946,S0, 19.97, 0.63,,   80.0,   25.0
FCC 119,3.55942,-33.57324,S0, 20.31, 0.96,,   17.0,    6.0
FCC 0059,3.46294,-33.56417,dE0N, 20.00, 2.00,,    0.0,    4.0
NGC 5193,13.53153,-33.23393,E, 37.99, 5.00,, 5878.0,  355.0
ESO 358-G43,3.63712,-33.12725,dS0, 21.08, 0.74,,   17.0,    6.0
FCC 174,3.6126,-33.01486,dE1N, 22.10, 1.90,,    9.9,    4.6
ESO 358-G01,3.43396,-32.89445,dS0, 19.23, 1.42,,   37.0,   15.0
IC 1919,3.43396,-32.89445,E/S0, 19.23, 1.42,,   21.0,   10.0
ESO 383-G076,13.79122,-32.86497,E/cD,169, 8.00,,22500, 5500.0
NGC 7793,23.96382,-32.59104,Scd,  3.84, 0.16,,   17.0,    5.0
ESO 358-G25,3.59253,-32.46491,S0-a, 18.00, 0.45,,   16.0,    5.0
NGC 1339,3.46849,-32.28607,E4, 20.38, 0.85,,  231.0,   80.0
NGC 7173,22.03426,-31.97372,E, 31.33, 2.87,,  400.0,   30.0
KK 246,20.06594,-31.68167,I,  7.83, 0.80,,    2.0,    2.0
ESO 444-G046,13.4658,-31.49546,E/cD,205,10,,32500, 8000.0
NGC 1344,3.47212,-31.06812,E5, 20.03, 1.06,,  280.0,  100.0
Sagittarius dE,18.92208,-30.54528,dE,  0.03, 0.00,,    6.0,    2.0
IC 4329,13.81814,-30.29573,E/S0, 68.70, 4.80,, 2970.0,  530.0
NGC 5236,13.61691,-29.86556,Sc,  4.61, 0.28,,   43.0,   12.0
NGC 3923,11.85049,-28.80597,E4, 22.91, 3.15,, 2800.0,  300.0
NGC 4980,13.15281,-28.64166,Sa, 24.80, 1.80,,   43.0,   27.0
NGC 3056,9.90913,-28.29805,S0-a, 12.19, 1.49,,   23.0,   10.0
NGC 3311,10.61188,-27.52788,E2, 44.26, 4.00,,16500, 2000.0
ESO 509-G008,13.44559,-27.4393,E/cD,155, 8.00,, 6000.0, 1500.0
ESO 499-037,10.06162,-27.0278,SABc, 16.90, 3.42,,   14.0,   11.0
NGC 3585,11.22142,-26.75486,E7, 21.20, 1.73,,  300.0,  100.0
NGC 1201,3.0689,-26.06966,S0, 20.23, 3.00,,  230.0,   80.0
NGC 253,0.79253,-25.28844,SABc,  3.54, 0.20,,   90.0,   40.0
ESO 498-005,9.41131,-25.09267,SABd, 32.00, 3.00,,   58.0,   12.0
NGC 2865,9.39172,-23.16161,E3, 37.84, 3.65,,  712.0,  108.0
NGC 1426,3.71364,-22.10836,E, 24.10, 2.08,,  240.0,   20.0
NGC 1439,3.74722,-21.92072,E1, 26.67, 1.91,,  260.0,   30.0
NGC 1332,3.43811,-21.33528,S0, 22.91, 0.20,, 1000.0,  500.0
NGC 247,0.78571,-20.76045,SABc,  3.72, 0.20,,   60.0,   30.0
NGC 5018,13.21695,-19.5182,E3, 36.20, 6.00,, 1000.0,  300.0
NGC 2758,9.09201,-19.04277,SBbc, 32.40, 2.30,,   99.0,   32.0
NGC 1400,3.65857,-18.68815,S0, 26.42, 4.34,, 2960.0,  958.0
NGC 1407,3.66996,-18.58036,E0, 28.84, 3.67,, 7000.0, 2000.0
NGC 5170,13.49688,-17.9665,Sc, 21.58, 4.36,,  500.0,  200.0
NGC 4033,12.00962,-17.84247,E, 21.09, 2.36,,  160.0,   15.0
NGC 1345,3.49213,-17.77839,Sc, 19.90, 1.40,,   16.0,    8.0
