#Table1
oh_p50,sfr_tot_p50
-9999,-1.467117
-9999,-1.479138
-9999,-1.479121
-9999,0.3300055
-9999,-9999
-9999,-0.5373817
-9999,-9999
-9999,-1.466853
-9999,0.3301226
-9999,-9999
8.948704,0.03468393
-9999,-9999
-9999,0.09620032
8.955735,0.1077281
-9999,-9999
-9999,-9999
-9999,-1.072107
-9999,-0.1764967
-9999,-9999
-9999,-3.820012
-9999,-3.820011
-9999,-9999
-9999,-0.8914585
9.109379,1.17977
-9999,-1.094308
-9999,-1.397506
-9999,-0.1770237
-9999,-1.300117
-9999,-0.6833754
8.929837,-0.1979035
-9999,0.02079265
-9999,-0.6829049
-9999,-9999
-9999,0.02144963
8.920814,-0.2063046
-9999,-1.397681
-9999,-1.072204
-9999,-0.09541859
-9999,-0.09520395
-9999,-0.6459082
-9999,-1.094198
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-1.299143
9.109716,1.208628
-9999,-0.8912613
-9999,-9999
9.083578,0.2484139
-9999,-9999
-9999,-1.311474
-9999,-0.09811946
-9999,0.4220843
9.056527,0.220492
-9999,-0.09818218
-9999,-9999
-9999,-0.6303983
-9999,-9999
-9999,0.4216666
-9999,-9999
9.162812,-2.463183
-9999,-1.311277
-9999,-0.6301239
-9999,-0.5044993
-9999,-9999
-9999,-1.450589
-9999,-1.449785
-9999,0.5681759
-9999,0.5681606
-9999,-1.542348
-9999,-0.5044891
9.151122,-2.587463
-9999,-9999
-9999,-0.7423761
-9999,-9999
-9999,-9999
-9999,-9999
-9999,-1.212797
-9999,-9999
-9999,-1.212321
-9999,-0.7429063
-9999,-9999
-9999,-1.542554
8.641423,0.3428976
-9999,-9999
-9999,0.06013395
-9999,-0.6728337
-9999,-1.130613
9.146013,0.4564192
-9999,-1.234618
-9999,-1.234491
-9999,-0.6735066
-9999,-9999
-9999,-9999
-9999,-0.05313114
-9999,-9999
8.665844,0.4230646
-9999,0.7570744
-9999,-0.9413485
-9999,-1.686318
-9999,-9999
-9999,-0.9423808
-9999,0.7569072
-9999,-1.272493
-9999,0.06027856
8.906366,-0.3391835
-9999,-1.686863
-9999,-9999
8.884861,-0.3197586
-9999,0.5942973
-9999,-9999
-9999,-0.7305794
-9999,-0.7311055
9.116127,0.4416669
-9999,-1.130677
-9999,-9999
-9999,0.59422
8.975528,0.01454087
-9999,-1.272219
-9999,-0.05385996
-9999,-9999
-9999,-9999
8.954487,0.04179282
-9999,-1.167624
-9999,-1.319023
-9999,-1.389548
-9999,-1.390367
-9999,0.4533592
-9999,-9999
-9999,-9999
-9999,-0.9097531
-9999,-9999
-9999,-9999
8.772964,0.06283937
-9999,0.4532758
-9999,-1.248398
-9999,-0.653431
-9999,-0.6539382
-9999,0.335008
-9999,0.007594968
-9999,0.03259665
-9999,-1.320258
-9999,-0.06158126
-9999,-4.189402
-9999,-4.256783
-9999,-1.029736
-9999,0.008037286
9.003538,-0.2390476
8.821725,0.07959186
-9999,-0.9099573
-9999,-1.249075
-9999,-1.492734
8.93696,0.054095
9.01554,-0.3499999
-9999,0.3346059
-9999,-1.1667
8.169724,-0.2047578
8.086936,-0.2318827
-9999,-0.06157946
-9999,-0.4363673
-9999,-0.4364158
-9999,-1.029982
-9999,-1.018386
-9999,-9999
-9999,-9999
-9999,-1.086615
-9999,-2.135446
-9999,0.1922247
-9999,-0.9032997
-9999,-9999
-9999,-1.086236
-9999,-9999
-9999,-0.4071976
-9999,-0.4071324
-9999,-0.6739033
-9999,-1.383541
-9999,-0.9765949
-9999,-0.9032488
-9999,0.2079837
-9999,-0.6738091
-9999,-9999
-9999,-2.133641
-9999,-1.383249
-9999,-9999
-9999,-1.111015
-9999,-0.5130646
-9999,-1.332722
-9999,-1.332335
-9999,-0.512987
-9999,-9999
-9999,-9999
-9999,-1.111832
-9999,-0.9131207
-9999,-0.9132857
-9999,-4.495792
-9999,-0.8541595
-9999,-1.018119
-9999,-0.8546373
-9999,-0.9762286
-9999,-0.7356969
-9999,-1.555075
-9999,-1.555612
-9999,-0.2572645
-9999,-0.3937407
8.950336,0.6128888
8.61477,-0.5566664
-9999,-1.935479
8.949184,0.5795317
-9999,-4.94153
-9999,-1.935431
-9999,-0.3937496
-9999,-0.2571291
-9999,-9999
-9999,-0.007015522
8.707854,-0.5169038
-9999,-0.7357396
-9999,-0.8440642
-9999,-0.8438535
-9999,0.3520639
-9999,-4.941018
8.602874,-1.018054
-9999,-1.157954
-9999,-0.5743102
9.049806,0.6501619
8.742925,0.1076839
8.614577,-1.033776
-9999,-1.158003
9.132504,0.7649049
-9999,0.7010426
-9999,-0.9335898
-9999,-0.9340374
-9999,-0.5743939
-9999,-0.007015522
-9999,-9999
8.7338,0.111839
9.102196,0.5433072
-9999,0.007689876
-9999,-1.11656
-9999,-1.071832
-9999,-0.6272261
-9999,0.69062
-9999,-1.142435
-9999,-9999
-9999,-1.071935
-9999,-9999
8.845493,-0.333807
-9999,-1.116907
-9999,-0.8587561
-9999,-9999
-9999,-1.386236
-9999,-0.8591166
-9999,-1.032216
8.647613,-1.197285
-9999,0.5139706
-9999,-1.142632
-9999,-0.7033965
-9999,-1.482162
-9999,0.6903979
-9999,-0.6269498
-9999,-0.1927408
-9999,-0.7032687
-9999,-4.245826
-9999,0.07102138
-9999,0.0710214
-9999,-0.1929924
-9999,-1.482464
9.058061,0.5626905
8.847401,-0.3346528
-9999,-4.222369
-9999,-4.055945
-9999,0.4067256
-9999,0.4063187
-9999,-9999
-9999,-9999
-9999,-1.032174
-9999,-0.3899439
-9999,-1.64518
-9999,0.8149465
-9999,-0.2304047
-9999,0.2175251
9.069802,0.2829464
8.820269,-0.2059492
-9999,0.8147486
-9999,-0.3899175
8.990029,0.07120543
9.069974,0.2455383
-9999,0.5422159
-9999,-0.2147716
-9999,-9999
-9999,0.3468718
-9999,-9999
-9999,0.1673256
-9999,0.1676572
-9999,-1.308699
-9999,-1.309331
8.896534,-0.2564267
9.044544,0.08696627
-9999,-4.391211
-9999,-4.390257
-9999,0.2175454
-9999,-9999
-9999,-0.2150757
-9999,-9999
-9999,-0.38959
-9999,-0.2302237
-9999,-1.64475
-9999,0.5424613
-9999,-9999
-9999,-1.379203
-9999,0.3467778
-9999,-1.379073
-9999,-0.3882968
8.836737,1.409073
-9999,-9999
-9999,-0.5952372
-9999,0.6060649
-9999,-9999
8.997776,0.8794461
8.723392,-0.8994267
-9999,-0.8747967
-9999,-1.858104
-9999,-1.837435
-9999,-1.839199
8.771695,1.367788
8.456623,0.01275257
8.536247,-0.03008004
-9999,-0.8746058
-9999,-0.5945061
8.960708,0.8273669
-9999,-9999
-9999,-9999
-9999,-1.201461
-9999,-0.9860434
-9999,-1.123103
8.109317,-1.207801
-9999,-0.06111548
-9999,-0.06194934
