#Table1
oh_p50,sfr_tot_p50,bptclass
-9999,-1.341398,-1
8.643357,-1.03,1
9.151514,0.7775774,1
-9999,0.26656,2
-9999,-0.8907974,4
-9999,-0.7292644,-1
9.131466,-0.3650966,1
-9999,-9999,-1
-9999,-0.366769,2
-9999,-0.4301803,2
-9999,-0.8495815,-1
9.113624,0.9646949,1
9.014057,-0.6576624,1
-9999,-0.4253493,-1
-9999,-2.431581,-1
-9999,-0.9981024,-1
-9999,-1.363142,-1
-9999,-1.361104,-1
8.728671,-0.4852826,1
8.393594,-0.04814258,1
-9999,-0.768109,-1
9.073331,0.413449,1
-9999,-1.857535,-1
-9999,-1.065802,-1
-9999,-0.739024,5
-9999,-4.22145,-1
-9999,-0.7633264,2
8.649608,0.02942084,1
8.337186,-0.3207883,1
-9999,-4.924753,2
-9999,-1.329462,5
-9999,-9999,-1
-9999,-9999,-1
-9999,-3.335648,-1
