#Table1
ra,dec,u,g,r,i,z
132.721144511658,11.9087701368417,23.09396,24.12535,21.94904,21.37222,20.52481
132.721150058404,11.6936934691057,21.37947,19.76757,18.59134,18.18303,17.87008
132.721191994173,11.9032651071149,19.50609,18.13205,17.2674,16.88244,17.23844
132.721198717503,11.938495982313,24.93224,25.02634,24.10947,23.63935,23.68278
132.721222963988,11.9032808990775,20.01121,18.0261,17.63613,17.35345,17.43717
132.721245913466,11.9198231160632,24.14891,22.5726,22.03485,21.87709,21.7557
132.721305162605,11.9907823990562,22.76491,22.39912,22.51631,22.40086,21.80944
132.721331049547,11.9198676416448,25.49982,22.13211,21.22993,21.35393,23.12775
132.721372366704,11.9907171088299,22.55262,22.33432,22.48734,22.47177,21.16826
132.721398083736,11.8295703832118,17.40316,15.72071,15.12097,14.918,14.8334
132.656779056091,11.690224071929,21.82402,19.28673,17.82776,16.56573,15.90762
132.656781298932,11.6902172955933,22.18784,19.32376,17.85223,16.5785,15.87808
132.656791142593,11.6902268818299,21.45582,19.2719,17.84771,16.5669,15.87823
132.656950542224,11.9991768410914,25.2723,24.26308,22.37273,21.17551,20.28621
132.656952899843,11.9991063742147,25.60257,24.72879,23.11642,21.18599,20.41446
132.657017126704,11.9991180007478,25.40309,24.01673,22.57938,21.25459,20.82462
132.657022695257,11.6769926393642,22.40611,25.46793,23.75583,24.65685,22.77536
132.657142076755,11.7242026066701,24.3923,22.53669,21.01777,19.91405,19.31491
132.657151092753,11.7241868736417,26.39128,22.66524,21.12335,19.89541,19.27622
132.657153701909,11.7242278368016,23.11349,22.58211,21.20724,19.87985,19.33052
132.65733941991,11.6460710013384,22.38207,23.36324,22.56476,20.83283,20.24471
132.657368929415,11.6460575178538,25.56447,23.51091,22.52889,20.87323,20.17785
132.657373402278,11.8356976809349,25.00066,24.3127,22.85673,21.51482,20.68714
132.657415887127,11.6460485527389,24.20452,24.12385,22.26269,20.72384,20.06624
132.657432933122,11.8357117373943,23.33347,24.56552,23.25194,21.41219,21.49315
132.657447470522,11.8116783719814,25.0515,23.19312,22.74831,21.99818,22.28226
132.657527252763,11.8116920455605,24.37261,23.1114,22.59484,21.97466,21.70476
132.657552087846,11.7859365315656,24.02415,24.03208,22.20273,21.31269,20.95128
132.657582319461,11.7859217500091,24.16803,24.06029,22.50543,21.95202,20.94199
132.657646394567,11.8774049799887,24.07322,24.21309,22.14876,21.23101,20.69282
132.657669619101,11.8773938418729,24.95709,23.12197,21.55692,20.69025,19.90004
132.657674733687,11.7598471893486,19.56751,17.22844,16.25044,15.9247,15.74676
132.657685946077,11.7598488754269,19.50492,17.22922,16.24296,15.92214,15.74574
132.657688038305,11.7598496854802,19.55457,17.24303,16.26041,15.91339,15.74403
132.6578256721,11.8915922855601,23.17009,21.99614,21.51991,21.17928,20.94332
132.657841310455,11.8915870899146,22.74055,21.88713,21.03529,21.26036,21.86915
132.657858947447,11.7911265916453,25.02411,21.59067,21.16944,20.80623,21.2918
132.657904310538,11.9264179093859,24.29158,20.53631,19.0944,18.11492,17.56918
132.657907885432,11.9264361290004,23.22057,20.53944,19.07333,18.09661,17.55685
